"GUID","ZH Artwert (1995): Artwert KT ZH","ZH Artwert (1995): Artwertberechnung Anteil am CH-Bestand","ZH Artwert (1995): Artwertberechnung Areal weltweit","ZH Artwert (1995): Artwertberechnung Gefährdung CH Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung EU Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung ZH Punkte","ZH Artwert (1995): Neophyt"
"E8351D0A-18E7-4C92-B212-4B571FB53235",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"EE16CB28-4AEC-4741-814A-764DE55E0758",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"F1ABBEFD-0906-4BB3-9E32-0EEE416A6585",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"F233ECC2-FD74-4BFB-BC54-824CAD55D783",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"F3217F8D-3C91-44A3-99E2-23E0CF0534AF",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"F48FC146-23FC-4C1B-908F-EFEE65A60FE5",0,"nicht beurteilt (0 Punkte)","nicht beurteilt (0 Punkte)",0,0,0,"true"
"F83C884A-4059-4B29-AA28-AE67B962F515",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"F8DFAD8B-D1CD-40BB-93CD-1C4F9F6551E1",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"F9CC0AD6-CD9A-4A25-B3EC-35723B587992",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"FAB7F281-8782-4D81-96EA-D2F9858B5960",0,"nicht beurteilt (0 Punkte)","nicht beurteilt (0 Punkte)",0,0,0,"true"
