"GUID","ZH AP Grundlagen (1995): Art kommt in Lebensraum vor: Beziehungspartner","ZH AP Grundlagen (1995): Art kommt in Lebensraum vor: Beziehungspartner GUID(s)"
"CB5300FF-31BE-4C2D-B1B1-A45648C0CE54","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"CB7941EF-F832-4201-85EE-0C1420DB2DE5","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"CB847B05-7972-447E-A2E9-D5B290E63499","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"CBBA2BD6-83DC-4DA0-A9E9-2D2AF8E41614","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"CBBA2BD6-83DC-4DA0-A9E9-2D2AF8E41614","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'8a: Hecken, häufig','GUID':'A09BC943-AE7C-4C3E-AC6A-D5E896222924'}]]","A09BC943-AE7C-4C3E-AC6A-D5E896222924"
"CBC541B4-46D6-4D7A-8539-15FE15865F93","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"CBC541B4-46D6-4D7A-8539-15FE15865F93","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3a: Trocken-/Magerwiesen i.e.S.','GUID':'2ED89968-1291-47BF-847B-F2541B092DD2'}]]","2ED89968-1291-47BF-847B-F2541B092DD2"
"CBC541B4-46D6-4D7A-8539-15FE15865F93","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"CC409B48-CED7-4B4C-B4B8-E2EDC93047D7","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'6: Äcker','GUID':'50FEE5B6-9651-4AD8-AE60-90BD3B5131A9'}]]","50FEE5B6-9651-4AD8-AE60-90BD3B5131A9"
"CC5C6697-7D59-46CD-990E-F9C6B0503BAA","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"CC5C6697-7D59-46CD-990E-F9C6B0503BAA","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'8a: Hecken, häufig','GUID':'A09BC943-AE7C-4C3E-AC6A-D5E896222924'}]]","A09BC943-AE7C-4C3E-AC6A-D5E896222924"
